date,prices,market_caps,total_volumes
2014-02-14,0.213899,702537.0,7485.0
2014-02-15,0.317768,1054626.0,21466.0
2014-02-17,0.5614,1882753.0,58209.0
2014-02-18,1.11472,3766068.0,185870.0
2014-02-19,0.907017,3038521.0,69585.0
2014-02-20,1.06836,3638632.0,93135.0
2014-02-21,1.07025,3659097.0,82530.0
2014-02-22,1.07757,3698161.0,95555.0
2014-02-23,1.13523,3910531.0,119208.0
2014-02-25,0.578474,2001131.0,100678.0
2014-02-26,0.576269,2001459.0,61934.0
2014-02-27,0.627941,2189013.0,41632.0
2014-02-28,0.552027,1932078.0,51284.0
2014-03-01,0.677713,2381005.0,86293.0
2014-03-02,1.01349,3574321.0,272666.0
2014-03-03,1.01406,3589216.0,188719.0
2014-03-04,1.01072,3590031.0,177511.0
2014-03-05,1.01226,3609381.0,99566.0
2014-03-06,0.989058,3539114.0,86204.0
2014-03-07,0.979578,3517018.0,107102.0
2014-03-08,0.923403,3333235.0,72470.0
2014-03-09,0.87206,3158554.0,57330.0
2014-03-10,0.787094,2859971.0,47879.0
2014-03-11,0.883975,3222672.0,52698.0
2014-03-12,0.860298,3146444.0,38802.0
2014-03-13,0.811288,2976105.0,30885.0
2014-03-14,0.811341,2976299.0,26274.0
2014-03-15,0.812077,2978999.0,26298.0
2014-03-16,0.790608,2923684.0,26173.0
2014-03-17,0.778919,2890355.0,40168.0
2014-03-18,0.757401,2819730.0,32720.0
2014-03-19,0.744165,2779390.0,38450.0
2014-03-20,0.735668,2756448.0,4277.0
2014-03-21,0.739443,2779345.0,34904.0
2014-03-22,0.702145,2647584.0,26345.0
2014-03-23,0.714949,2704444.0,30448.0
2014-03-24,0.762249,2892334.0,61250.0
2014-03-25,0.87715,3338007.0,117623.0
2014-03-26,0.842288,3215928.0,71192.0
2014-03-27,0.759031,2908430.0,33544.0
2014-03-28,0.698006,2682926.0,27519.0
2014-03-29,0.703475,2712446.0,23667.0
2014-03-30,0.700447,2701624.0,23181.0
2014-03-31,0.671705,2597922.0,31810.0
2014-04-01,0.686704170861,2815062.0,36211.0
2014-04-02,0.62303448545,2397479.0,21722.0
2014-04-03,0.618368332464,2494273.0,18610.0
2014-04-04,0.631631388696,2543398.0,11863.0
2014-04-05,0.655502132439,2752711.0,28674.0
2014-04-06,0.644560073424,2527895.0,13167.0
2014-04-07,0.623316,2457512.0,18670.0
2014-04-08,0.606590048442,2389171.0,21411.0
2014-04-09,0.577438923991,2333706.0,9604.0
2014-04-10,0.465174179998,1820468.0,16417.0
2014-04-11,0.537919897217,2192256.0,18946.0
2014-04-12,0.5621027184,2289956.0,18959.0
2014-04-13,0.543488406615,2164286.0,15789.0
2014-04-14,0.584064289926,2350853.0,29214.0
2014-04-15,0.650154125,2614207.0,28751.0
2014-04-16,0.681979338375,2654214.0,23860.0
2014-04-17,0.608116944,2499800.0,19435.0
2014-04-18,0.784390031928,3214345.0,293384.0
2014-04-19,0.730304123635,3006893.0,57416.0
2014-04-20,0.721140504062,2958104.0,30229.0
2014-04-21,0.7035374724,2905581.0,29266.0
2014-04-22,0.716991362974,2970874.0,61291.02357397706
2014-04-23,0.8677945,3601159.0,177159.8353372349
2014-04-24,1.032527038234,4375511.0,288863.55394663825
2014-04-25,1.725113192,6988284.0,655077.7326258371
2014-04-26,1.72444,7161605.0,1122714.671935532
2014-04-27,1.673837077168,7100822.0,430583.0861018736
2014-04-28,1.6952452308,6957755.0,168996.13499599395
2014-04-29,1.6179355,6832234.0,262867.2999781892
2014-04-30,1.517981984096,6438676.0,79668.15400768159
2014-05-01,1.460843073,6351408.0,193476.0900490148
2014-05-02,1.325985466,5662270.0,164610.68957915338
2014-05-03,1.171955014995,5032190.0,79831.36302915051
2014-05-04,1.58918678704,6537952.0,249774.8693560368
2014-05-05,1.6407870064,7076205.0,267347.6301207718
2014-05-06,1.57902458,6811777.0,63757.40837618748
2014-05-07,1.647375,6914885.0,90350.06856297924
2014-05-08,1.618270451798,7011558.0,78368.56887933811
2014-05-09,2.3251751868,9466773.0,448193.8694931524
2014-05-10,2.624529,10944066.0,743863.2788586423
2014-05-11,2.57407147,10966982.0,501946.5785444925
2014-05-12,2.5034049595,10559386.0,639149.6907162564
2014-05-13,2.72441015,11854415.0,359164.4500138372
2014-05-14,3.531761265,17164361.0,1000265.2322859945
2014-05-15,6.3749875,24714019.0,4379350.753884786
2014-05-16,5.78714945165,25426996.0,2186016.556283293
2014-05-17,4.7550254445,20364605.0,1584346.262087564
2014-05-18,6.13014354,27439501.0,1708311.0532504274
2014-05-19,6.92659135,29880547.0,1590927.5235323857
2014-05-20,6.8877211416,29659427.0,1177392.116441294
2014-05-21,7.942481472396,34449263.0,1356247.16261677
2014-05-22,10.180409684,48495634.0,3427050.7620726097
2014-05-23,13.132854,58279461.0,6738630.942003805
2014-05-24,11.926890164332,52323392.0,3389497.462998053
2014-05-25,15.0867744199,65445382.0,3382196.275575944
2014-05-26,9.91153107,48856716.0,4753808.680850728
2014-05-27,10.47834,45792845.0,4893233.294044453
2014-05-28,6.932947244533,31243840.0,3243695.8348119496
2014-05-29,9.5698518,40679365.0,4765297.909157306
2014-05-30,11.161993776066,47982000.0,5161315.285986198
2014-05-31,11.2931,49244145.0,2339601.8449625517
2014-06-01,13.520215104,56208979.0,2992876.5926575097
2014-06-02,15.425635,62997549.0,4155898.313689902
2014-06-03,13.961344836,60529077.0,2874476.3483507764
2014-06-04,12.373805384887,54457164.0,1254839.493867492
2014-06-05,11.25351,46262763.0,1609262.6709099803
2014-06-06,11.5521327315,51338096.0,1351792.0262152704
2014-06-07,10.4273328,45296280.0,609122.6987686394
2014-06-08,9.423525349999998,41481497.0,877719.8504537388
2014-06-09,9.4138911,41135936.4230166,1063630.5029375162
2014-06-10,11.68295569433,51079868.3980788,1288989.6632026725
2014-06-11,10.38294181233,45395986.70361485,606014.9153808241
2014-06-12,9.9255625,43448584.0866875,811973.1063690033
2014-06-13,10.555652362332,46206766.54392368,380103.0131429692
2014-06-14,10.128981441132,44401301.75553183,373773.5548855346
2014-06-15,10.13499852,44462258.77723704,303790.66852372984
2014-06-16,10.1676432,44632862.6844672,348229.319140569
2014-06-17,10.139543610000002,44538949.1217424,330846.4898917217
2014-06-18,10.306816791,45302242.39820731,393863.7127820898
2014-06-19,10.72005360435479,47149872.407336816,819182.4233926431
2014-06-20,10.27175736566543,45207000.52675803,3903579.828587819
2014-06-21,9.215364260572526,40584648.510846615,1074220.222060435
2014-06-22,9.402266951024473,41433815.97710514,380116.4648219606
2014-06-23,9.785884797069045,43156769.687093385,470210.7440983554
2014-06-24,9.423310642255313,41583675.214297645,326318.6012050561
2014-06-25,8.904564289268464,39318433.0881436,326611.4054949479
2014-06-26,9.965772486211064,44032121.37786336,939568.0388894044
2014-06-27,9.97718642866766,44110079.05666401,363215.146483491
2014-06-28,9.454121278505644,41823510.42258313,410622.1325112627
2014-06-29,9.19853236966953,40718278.57877336,370239.7835646572
2014-06-30,8.90591514478828,39447913.97781608,1176852.637946576
2014-07-01,7.9735130193374,35339454.8940834,683385.8817903245
2014-07-02,6.958684419140634,30861006.902287025,1042636.4596513415
2014-07-03,7.720150297759786,34259224.60689984,947815.0312001808
2014-07-04,7.463622779443806,33141291.46289557,246044.30098023635
2014-07-05,6.994840748834259,31079322.528723907,405793.475293904
2014-07-06,6.400685283726405,28458099.641346537,430228.2591461092
2014-07-07,6.745739511024179,30011990.710992392,374244.4435702993
2014-07-08,7.077598743235668,31508075.317932777,572713.9410051843
2014-07-09,7.055419926096451,31412683.86230093,242168.87535529025
2014-07-10,6.682974740358188,29754454.72807773,290502.1510656104
2014-07-11,6.48742833878647,28883827.98192721,349605.4807576112
2014-07-12,6.496389388922727,28923725.059344716,125978.03011444192
2014-07-13,6.325631703967152,28163464.54604376,187590.2080952755
2014-07-14,6.145582909976364,27361837.44168084,242473.66098365287
2014-07-15,6.27154107481851,27922638.08196973,384400.1488143159
2014-07-16,6.325910714307933,28164706.77736678,339733.40705884126
2014-07-17,7.53061613536091,33528389.015296265,693616.2160427754
2014-07-18,7.191672972312287,32234588.513227858,710373.980790575
2014-07-19,7.037044438483064,31563325.790372472,86357.83730352792
2014-07-20,7.081747961411102,31783805.478048008,127452.20505179808
2014-07-21,6.748880534818304,30308682.571426217,119005.48289834338
2014-07-22,6.381218694363503,28675601.507795997,181955.5116273421
2014-07-23,6.344000463541855,28526432.484362304,132980.20287629013
2014-07-24,6.156392097334103,27699393.39961436,168021.72765639573
2014-07-25,6.134026833258811,27610481.58186456,236137.53629529467
2014-07-26,5.947754556461142,26795823.827768736,172373.45178696903
2014-07-27,5.79444668635525,26121945.106758103,172400.6753372999
2014-07-28,5.176261331835086,23349343.60496963,400029.6917676036
2014-07-29,4.759543383665674,21482989.146376707,287249.6880676908
2014-07-30,4.391953449479104,19836701.34187077,317912.97499279614
2014-07-31,5.557197131199589,25118275.401954107,381497.6802593837
2014-08-01,5.635668693694182,25492090.71428419,249264.53333056247
2014-08-02,5.68431336876547,25729709.089228146,179323.39714444522
2014-08-03,5.793550629936925,26240416.016439296,277507.4597335276
2014-08-04,5.276815303830975,23914426.697471205,175222.80127696245
2014-08-05,5.363537783891562,24322426.32687129,106543.52849518548
2014-08-06,5.763327449713972,26151173.226333994,210840.9206627112
2014-08-07,5.661054403856848,25703060.802517768,138565.76296729056
2014-08-08,5.983443582588795,27183436.3910514,266857.2281299668
2014-08-09,5.591373815009488,25417569.02245614,235267.90300532672
2014-08-10,5.634128249691497,25626798.53895228,211254.58863814847
2014-08-11,5.01797657596653,22838602.814861298,217867.7226267013
2014-08-12,5.001637682451026,22778028.19257777,90570.56953570456
2014-08-13,4.81220935972397,21929117.74702814,280024.8667892873
2014-08-14,4.036546142272645,18405386.96982073,190730.0475247811
2014-08-15,3.656998623808414,16684858.743200203,273130.88490407204
2014-08-16,2.921336532598177,13336473.853271067,283032.49519628513
2014-08-17,2.461367067471979,11243411.541326895,368912.7816822562
2014-08-18,1.542033655393103,7048342.852407349,693530.308279724
2014-08-19,3.303622291677947,15109684.77402326,712036.5026518061
2014-08-20,3.822354596384649,17492818.514979124,719614.7410850313
2014-08-21,3.401114880084583,15574497.495674366,235947.1760219212
2014-08-22,3.181573467893268,14578185.97688277,282949.59575349337
2014-08-23,2.981880228974272,13671640.553105513,129251.22010571408
2014-08-24,3.077865154437089,14120241.944517018,64845.12077428873
2014-08-25,2.639406585383957,12116193.290798469,127503.22599105812
