date,prices,market_caps,total_volumes
2019-01-12,3.60809115702423e-05,0.0,28435.252349985123
2019-01-13,3.8771894047246736e-05,0.0,38952.74391265446
2019-01-14,3.454546068393867e-05,0.0,33198.636518939034
2019-01-15,3.665505926436955e-05,0.0,34631.51655587039
2019-01-16,3.62274041385752e-05,0.0,24466.862086081837
2019-01-17,3.6316882507447446e-05,0.0,8849.783110493208
2019-01-18,3.617991024195754e-05,0.0,9601.205412433446
2019-01-19,3.0940242227132204e-05,0.0,20723.887481404465
2019-01-20,3.232572291631056e-05,0.0,9440.831811044194
2019-01-21,3.389951936930623e-05,0.0,9403.14792355368
2019-01-22,3.1427976749712005e-05,0.0,44635.56740500384
2019-01-23,3.562116194183815e-05,0.0,14916.126870701097
2019-01-24,3.506273149415788e-05,0.0,13941.152742024162
2019-01-25,3.5240659049830404e-05,0.0,12884.159925665992
2019-01-26,3.387648573043017e-05,0.0,26592.92324683875
2019-01-27,3.457005457676127e-05,0.0,20500.528361253044
2019-01-28,3.432776994714412e-05,0.0,9624.195228094432
2019-01-29,3.357412942294345e-05,0.0,14697.587811749923
2019-01-30,3.0377981995313e-05,0.0,14170.12215654856
2019-01-31,3.423791841300834e-05,0.0,18098.185110932733
2019-02-01,3.3987136893481765e-05,0.0,19075.49713131799
2019-02-02,3.265015375185816e-05,0.0,10677.23961466668
2019-02-03,3.43618614470677e-05,0.0,21859.270775110952
2019-02-04,3.35737918212675e-05,0.0,14415.664101938017
2019-02-05,3.430033181444178e-05,0.0,17618.253947262052
2019-02-06,3.402496779007548e-05,0.0,12703.48302506372
2019-02-07,3.3382943165113026e-05,0.0,20445.82403337534
2019-02-08,3.057349875048039e-05,0.0,15157.47128939788
2019-02-09,3.403128768246041e-05,0.0,24062.54604000014
2019-02-10,3.592435787188934e-05,0.0,21819.292825547163
2019-02-11,3.603542388969359e-05,0.0,23288.978498505217
2019-02-12,3.269111342121857e-05,0.0,34313.55788447794
2019-02-13,3.320801808053812e-05,0.0,21694.429069723967
2019-02-14,3.1430683321035764e-05,0.0,29885.44850813672
2019-02-15,2.771629214506644e-05,0.0,26682.97270141193
2019-02-16,2.887132370284716e-05,0.0,15593.427353935618
2019-02-17,3.0070742889841774e-05,0.0,25179.58104356179
2019-02-18,2.609523068228775e-05,0.0,24444.65347797144
2019-02-19,2.9967413894150726e-05,0.0,20442.08159825934
2019-02-20,2.510708812637629e-05,0.0,34183.87622543641
2019-02-21,2.619427702284353e-05,0.0,17832.759751568246
2019-02-22,2.793598154724169e-05,0.0,29781.06368005081
2019-02-23,2.939819557910658e-05,0.0,19142.96224467345
2019-02-24,3.0477152489001467e-05,0.0,47999.10443686799
2019-02-25,2.400829614298403e-05,0.0,46332.3252652297
2019-02-26,3.368170185639796e-05,0.0,84470.11797791815
2019-02-27,2.284358284981329e-05,0.0,5434.897698628774
2019-02-28,1.7940577549803454e-05,0.0,11694.519433309631
2019-03-01,2.174856122275093e-05,0.0,10511.55350952953
2019-03-02,1.8053188894853943e-05,0.0,21477.643340811625
2019-03-03,2.1496508230162557e-05,0.0,0.0369165073709746
2019-03-04,2.1078884391113667e-05,0.0,24824.85565617273
2019-03-05,1.7822891327060502e-05,0.0,15138.424317791374
2019-03-06,1.929098662522699e-05,0.0,21844.139666777413
2019-03-07,3.165125573110761e-05,0.0,24068.98927261052
2019-03-08,2.3650235606428924e-05,0.0,20825.003264347277
2019-03-09,2.8994643399101047e-05,0.0,21725.558737483272
2019-03-10,3.727592918891139e-05,0.0,27736.2014906658
2019-03-11,3.601180865942528e-05,0.0,14423.5924637459
2019-03-12,3.715240237275558e-05,0.0,3164.561873730403
2019-03-13,3.0610425633770335e-05,0.0,15330.596349132327
2019-03-14,1.8954945923523533e-05,0.0,15985.65805624982
2019-03-15,2.0925011066381945e-05,0.0,11248.51865776132
2019-03-16,3.56571965366912e-05,0.0,16424.75610135806
2019-03-17,2.810319503735472e-05,0.0,8712.543500335481
2019-03-18,3.380697005543495e-05,0.0,10494.74358954817
2019-03-19,3.42350511305574e-05,0.0,14772.955774136786
2019-03-20,2.672358308716223e-05,0.0,9.311798560631106
2019-03-21,3.34480992136938e-05,0.0,6807.18034743183
2019-03-22,3.4196653907556686e-05,0.0,16001.681042060369
2019-03-23,3.4628443213840386e-05,0.0,16433.786092258535
2019-03-24,3.161094055859339e-05,0.0,20296.19433790183
2019-03-25,2.662739177547772e-05,0.0,16980.896348452887
2019-03-26,4.712924591785934e-05,0.0,41192.13037723892
2019-03-27,3.870131143280559e-05,0.0,33636.75590498672
2019-03-28,3.259780733819463e-05,0.0,21103.293683661337
2019-03-29,4.419222390723916e-05,0.0,33248.2232997818
2019-03-30,7.466099098888666e-05,0.0,41868.53153572322
2019-03-31,5.064332782220954e-05,0.0,27017.722256791945
2019-04-01,4.67337178267029e-05,0.0,25700.174491698348
2019-04-02,4.154395583543502e-05,0.0,22076.62784267799
2019-04-03,4.545664126924785e-05,0.0,31114.71760134119
2019-04-04,4.707225537338472e-05,0.0,21870.57186258388
2019-04-05,4.364516333200005e-05,0.0,30390.16854193963
2019-04-06,4.549197157826743e-05,0.0,23369.05996577625
2019-04-07,5.201056646068732e-05,0.0,26761.69895274441
