date,prices,market_caps,total_volumes
2020-12-25,2.3563055347761734,151190930.61505118,607195247.593989
2020-12-26,2.3563055347761734,151190930.61505118,607195247.593989
2020-12-27,1.6151615452992498,120805690.86217044,218163749.79942456
2020-12-28,1.0751653016340332,77402609.0919455,180779414.28121984
2020-12-29,1.1148117848985653,83352512.45479786,93000761.71774873
2020-12-30,0.8927881040726732,67198301.26542865,107025575.99727118
2020-12-31,1.0924165059449609,84683372.30820313,147059272.99761555
2021-01-01,1.3724358132287264,105520598.48909388,142844669.2307749
2021-01-02,1.1492748570755074,89704870.7730814,66077251.4011223
2021-01-03,1.0296297057087112,81241666.39342608,41981900.333782606
2021-01-04,1.1157015423813803,89104867.59637001,72161297.38251399
2021-01-05,1.010178833479938,80310080.18391708,61028849.51243311
2021-01-06,1.2577111005207333,99481155.85770051,76954678.39203718
2021-01-07,1.516462567214133,118454038.38521011,111939290.21857561
2021-01-08,1.3128644271305405,103888148.98827346,107017067.19006038
2021-01-09,1.1974359947214535,95380446.4171623,82882127.24991006
2021-01-10,1.2529689265238277,100632869.7566267,57582717.77817995
2021-01-11,1.2164059414205877,96594994.00958635,67380491.01262602
2021-01-12,1.1269078225063769,89092411.90081522,66590819.26757308
2021-01-13,1.1252437435565414,89229616.47464533,58076141.148504615
2021-01-14,1.2763370055659127,100862288.19554366,100549600.16588011
2021-01-15,1.3296163904527374,121650130.43751664,102293063.13303372
2021-01-16,1.3456836835842032,124547719.95047016,173939455.39626482
2021-01-17,1.6512222705814212,159152191.34084275,261832774.0919613
2021-01-18,2.027587824642955,196094003.07674497,394168705.36747587
2021-01-19,1.8723771859535099,179455119.5127606,235166442.5279794
2021-01-20,1.9180428985144014,185924978.40007773,208932211.08817303
2021-01-21,1.8670144206031825,179774155.50500932,178975516.13993582
2021-01-22,1.5655277488368347,153467553.56252587,162241653.8415881
2021-01-23,1.7660168590008252,168219488.49898234,179248156.16624394
2021-01-24,1.9290928771413423,185939028.0948255,171817562.4460831
2021-01-25,2.4728363633578,237006704.25547394,298082838.9804503
2021-01-26,2.404574980019496,231981670.41963407,372814310.49109054
2021-01-27,2.661684999965116,256395187.66003162,316232249.3572201
2021-01-28,2.5198690461729556,241984616.62519753,312085870.6833048
2021-01-29,3.1276878562458115,302128199.10690826,481495102.91191775
2021-01-30,3.3534910655318733,326156108.8449003,419424604.5766662
2021-01-31,4.580521819647275,441493489.5668087,734781618.6107141
2021-02-01,4.991270683240381,483138785.99444443,1039941104.8271292
2021-02-02,5.011209145585213,483375812.43571645,661205900.9950383
2021-02-03,4.665715582888708,450700373.82564056,299870559.8340165
2021-02-04,5.0240574081976135,483329713.8624212,382688262.4689196
2021-02-05,5.551383070515374,534315164.03253525,613447297.0859311
2021-02-06,5.819219195129979,561417527.329104,448044194.6223935
2021-02-07,5.25032308805284,503668573.1130203,381531574.8482204
2021-02-08,4.938769874630332,476167275.2747631,420824342.6488809
2021-02-09,5.348914628617141,514737002.85321665,385518717.4306564
2021-02-10,5.1208519040044,494584639.3044882,343626757.9427405
2021-02-11,4.890905534833622,472522735.0458615,364427673.8050241
2021-02-12,5.638933018993051,542978142.2769104,454039291.93822813
2021-02-13,5.291805015713897,511284266.22339135,427784979.64199245
2021-02-14,5.703165560106956,552381431.4579248,523092213.93941516
2021-02-15,5.272575770268371,508523536.9450362,428666274.1227883
2021-02-16,4.934572745002482,475471257.630978,418095379.85992664
2021-02-17,4.749919937516773,457453834.79798365,253315909.8330206
2021-02-18,4.856511038911862,466970050.43784356,256261270.282962
2021-02-19,4.783802275203744,459347480.4367631,246146772.39360225
2021-02-20,4.630221235846474,444907321.7523167,258269927.12386474
2021-02-21,5.184956076859786,492736420.75466824,687679940.1658264
2021-02-22,5.074846078893207,489071470.3828814,365077052.6898468
2021-02-23,4.554265547284825,434963978.52123475,386448578.1613774
2021-02-24,3.607941983408321,346919030.10599,439629711.458683
2021-02-25,3.6380156882423194,351010012.30014044,326253073.07238936
2021-02-26,3.9277142864622587,378092347.41096574,563867849.5405253
2021-02-27,4.537557562069379,437618364.60372627,897929825.265732
2021-02-28,4.206901327837012,400930531.7635657,342239927.16421014
2021-03-01,3.818937684449712,369695024.3989314,347665373.7732794
2021-03-02,4.115216615419141,395276210.38300925,278698277.1372421
2021-03-03,4.019443797136884,580832743.5806352,300359107.82868314
2021-03-04,4.090446106002033,591704052.0053976,242013282.42536384
2021-03-05,3.865638232353363,556021544.4050748,183870405.31030378
2021-03-06,3.758235758695537,539405012.2580892,206823290.50552472
2021-03-07,3.8258856398916588,551124289.162094,147020004.3235937
2021-03-08,3.9917426963287834,574997525.6648496,250538388.6911244
2021-03-09,4.319622522221545,622744790.4180722,333154355.312264
2021-03-10,4.4495244710965345,642208803.4141104,291459861.4559775
2021-03-11,4.017147740224663,580588169.143378,304302034.47183347
2021-03-12,4.00756223050982,577204718.4911067,264160496.2384368
2021-03-13,3.80808914079746,549339678.5211073,282056621.8620681
2021-03-14,4.154027326263291,600111204.7030053,276482187.0767951
2021-03-15,3.875137013267519,563699334.4114103,231536220.63325655
2021-03-16,3.942713126844366,573677920.2717947,348675564.1932536
2021-03-17,4.583272425772953,664904577.2278439,421731197.89844745
2021-03-18,5.017501714689645,739127940.2392484,466318760.6514901
2021-03-19,4.578416625985792,682050761.6621381,321569733.8894868
2021-03-20,4.915456473582214,733110174.5217125,328568791.92279166
2021-03-21,4.732416361968719,705405056.3007714,208757034.2567422
