date,prices,market_caps,total_volumes
2021-02-26,46425.341140229146,0.0,2166746.351910774
2021-02-27,46425.341140229146,0.0,2166746.351910774
2021-02-28,46019.209636267966,0.0,1463571.7253960704
2021-03-01,45692.90362161007,0.0,1976480.1389189826
2021-03-02,49728.46308011115,0.0,2048407.1499032306
2021-03-03,48614.881339641135,0.0,1349759.0678247497
2021-03-04,50691.985686319014,0.0,1851802.4519802276
2021-03-05,48727.515365049425,0.0,2186392.423722248
2021-03-06,48883.80071799211,0.0,1857601.678098485
2021-03-07,49080.858332873104,0.0,1540607.7549168628
2021-03-08,51230.91418514685,0.0,1949112.7322536171
2021-03-09,51940.629692158596,0.0,1479914.9479538118
2021-03-10,54769.34460468322,0.0,2163758.368668407
2021-03-11,56362.470318320055,0.0,2119233.096218344
2021-03-12,57813.13677089154,0.0,2082828.966918938
2021-03-13,57305.332826187776,0.0,3948632.8409232274
2021-03-14,61278.47862334484,0.0,1836631.0966629134
2021-03-15,59753.26907169071,0.0,1547341.571674397
2021-03-16,56138.63443920287,0.0,2104538.2824884616
2021-03-17,56753.420465470605,0.0,2871895.0504469215
2021-03-18,59116.37195553519,0.0,1303682.9977072114
2021-03-19,57850.793433101164,0.0,1195350.238857254
2021-03-20,58551.704268487294,0.0,1786531.6699650458
2021-03-21,58457.86753130527,0.0,2328242.3987464444
2021-03-22,57690.47758864311,0.0,1713794.3111503331
2021-03-23,54332.64288043889,0.0,1480259.3561734385
2021-03-24,54690.620869365484,0.0,2977488.67396216
2021-03-25,52861.7566219043,0.0,2701062.46100263
2021-03-26,51571.670262934305,0.0,1847905.8643887436
2021-03-27,54749.86639936332,0.0,2515115.675859964
2021-03-28,55932.448371099716,0.0,2789880.924082847
2021-03-29,55757.36116905247,0.0,2406445.112719586
2021-03-30,57743.823835719624,0.0,2284817.093465306
2021-03-31,58724.03997988916,0.0,4416023.881043028
2021-04-01,58835.6642002644,0.0,3959251.657659128
2021-04-02,58804.07879564713,0.0,3605933.034816512
2021-04-03,58937.06585906255,0.0,7172646.179100216
2021-04-04,57153.05417949075,0.0,3743380.477731319
2021-04-05,58124.71740792266,0.0,3893100.66105537
2021-04-06,58945.20248667824,0.0,3172434.085845556
2021-04-07,58044.86061248276,0.0,8201526.635792789
2021-04-08,56259.79783324192,0.0,9599834.290991468
2021-04-09,58102.96434311944,0.0,4765036.5261907
2021-04-10,58094.58973285864,0.0,5181269.207416152
2021-04-11,59917.088247964006,0.0,10293208.642157782
