date,prices,market_caps,total_volumes
2021-03-18,52.597277858921736,31305187.16520766,4226245.203723669
2021-03-19,57.42734279346217,34771854.33240959,17469692.581027318
2021-03-20,48.62296043540586,349857044.2633471,360176965.00774544
2021-03-21,47.16053560227955,337825700.20193344,83622852.6362348
2021-03-22,39.51937218863447,282275365.81371826,52016446.344914675
2021-03-23,37.23930348176955,272755146.724487,39897490.514086254
2021-03-24,33.76405506507494,245450130.3614571,21822792.432992052
2021-03-25,32.17279139072564,237093315.6861842,24704371.904616423
2021-03-26,30.039089556841,218762205.54639333,19700628.416504174
2021-03-27,33.4831714379682,244011952.21908385,32458670.283769302
2021-03-28,33.31408146791505,242864897.56298253,13478795.165811453
2021-03-29,33.63984775638506,245070626.37196016,11806688.411922203
2021-03-30,33.79240022197977,246388940.91927052,10676838.916442925
2021-03-31,35.691335338910896,259837952.85968915,17497454.458647672
2021-04-01,33.22631830884313,242096062.2479564,12375760.125100821
2021-04-02,33.69150070672087,245558676.62980005,13129319.723983165
2021-04-03,33.8956441292623,247280683.31718513,18858468.845867362
2021-04-04,39.75461251331476,289723318.7882761,93473607.88759227
2021-04-05,47.30136532728844,341942894.7701982,88066142.48059906
2021-04-06,60.84493773784367,442261098.90799695,98080829.27001233
2021-04-07,65.99006072427352,481297734.8750875,124256773.5709018
2021-04-08,56.68252374503066,414238225.38151497,42617450.62322391
2021-04-09,53.34173544275768,387542674.4563439,43525437.87460965
2021-04-10,52.533741617581846,380488366.96756727,30699271.36454646
2021-04-11,61.17539710340394,445829238.0378747,67391545.04065052
