date,prices,market_caps,total_volumes
2019-06-05,0.09632178142180459,0.0,1830560.674940715
2019-06-06,0.08820249519331719,0.0,1602740.5509764382
2019-06-07,0.09439361994668104,0.0,1906639.0686591656
2019-06-08,0.09410635328746027,0.0,1399291.352063197
2019-06-09,0.09331430066858461,0.0,3242186.5384225757
2019-06-10,0.09043896440290346,0.0,3610407.9493490686
2019-06-11,0.08490997167437109,0.0,4384995.142966188
2019-06-12,0.0826082908201485,0.0,3115317.705435862
2019-06-13,0.09091484236124331,0.0,2278038.8240953013
2019-06-14,0.08820470757532647,0.0,2370019.9960608105
2019-06-15,0.08250662317093646,0.0,2571403.8294443684
2019-06-16,0.08228034042375411,0.0,2942240.8842008235
2019-06-17,0.07983534975713964,0.0,3094565.7264045
2019-06-18,0.07837736663153812,0.0,3866795.4937707395
2019-06-19,0.0821667274237793,0.0,3489216.189811345
2019-06-20,0.07592717582627755,0.0,1232385.7347449386
2019-06-21,0.07110607598512973,0.0,76996.85814308438
2019-06-22,0.07481735459979948,0.0,1285674.4174413898
2019-06-23,0.0726328288008138,0.0,2167074.748254802
2019-06-24,0.07199901735699642,0.0,2073203.7620147401
2019-06-25,0.07050204452571014,0.0,1903511.3901974456
2019-06-26,0.07139156888331986,0.0,1824743.9923941065
2019-06-27,0.06954464850640608,0.0,453602.0796339398
2019-06-28,0.07920535799091138,5972317.443846636,15863741.68446564
2019-06-29,0.0793359262626872,6051318.217292231,15992186.452020796
2019-06-30,0.07992142692561899,6140367.737415046,18648825.70595969
2019-07-01,0.10045739990383283,7687032.6331298845,15685044.542637996
2019-07-02,0.10629678383422422,8127114.446737088,14389722.304838685
2019-07-03,0.09415848680311852,7199032.424546565,13245716.959814098
2019-07-04,0.07905100716430553,6048940.274765188,9956930.691859696
2019-07-05,0.07162960601323146,5487018.225402474,10031033.071305089
2019-07-06,0.07356335268378035,5546635.545020518,18264789.10579917
2019-07-07,0.07164114013078647,5546591.571367904,11931452.63484113
2019-07-08,0.07543753839500263,5763186.7526739305,11492611.828960516
2019-07-09,0.08450072277548684,6468715.824798817,17462577.133145418
2019-07-10,0.07628768334210347,5819880.1146344105,11738854.920632208
2019-07-11,0.07212771912883856,5506775.933172992,13986332.628770279
2019-07-12,0.06698988674451167,5132126.172984912,2780237.880450066
2019-07-13,0.06579457580086927,5034622.155743483,5458521.491592264
2019-07-14,0.06623949552281948,5071395.674887307,6303101.80080106
2019-07-15,0.0624085825718082,4785329.559908482,5634274.633141845
2019-07-16,0.06589166723934216,5017737.40648739,5328395.543803717
2019-07-17,0.060389144132194796,4653668.406715069,4271236.424306364
2019-07-18,0.058389040682079646,4465620.0867279535,4429058.4447889915
2019-07-19,0.05877952732125402,4514725.778068153,3654079.253105154
2019-07-20,0.05727522868187794,4373168.43862342,2819601.582995489
2019-07-21,0.059734216035844244,4575499.572853108,3201184.480154293
2019-07-22,0.06788572019309908,5196390.329984433,2623605.843035156
2019-07-23,0.0631188059495665,4836705.163316593,2182826.4001731663
2019-07-24,0.06016225975911549,4621145.828334551,2654437.886785356
2019-07-25,0.05789319661028335,4427113.022450413,2619704.9486716017
2019-07-26,0.05714957123883675,4366985.075790322,2667510.3915027883
2019-07-27,0.05794641582189622,4431613.180261251,1951845.8394356782
2019-07-28,0.05855942894579598,4472727.801051884,2271069.299809715
2019-07-29,0.06022709824962408,4605514.549240255,2225771.6317494386
2019-07-30,0.05937423161449414,4545435.665605854,1926353.3394509233
2019-07-31,0.062371137247636585,4772792.481771213,2304339.7952878014
2019-08-01,0.06177815092241733,4727748.383868279,1950697.5219593763
2019-08-02,0.06129556484606699,4693760.58047105,1875521.9236279265
2019-08-03,0.06025951660504863,4616436.221924527,2088309.35008753
2019-08-04,0.059969238488982314,4595868.405065822,2019896.5316856008
2019-08-05,0.06042011061537552,4636550.495813212,1897673.633782496
2019-08-06,0.060221745420816666,4608187.378102702,2320415.9253984094
2019-08-07,0.05892412063495618,4516256.869472526,2115789.57191659
2019-08-08,0.05831565061318054,4465075.754009175,1931816.5460147297
2019-08-09,0.057698753850108773,4414876.740412547,1856140.7187223868
2019-08-10,0.05558342093434299,4232042.782582542,2765159.254581537
2019-08-11,0.0541215716081359,4136797.332061241,2138167.582577978
2019-08-12,0.05474702880204597,4195069.178162632,1910283.3374099247
2019-08-13,0.05212889899546846,3994498.582494141,2188033.2398488577
2019-08-14,0.05104950377467534,4221093.373069708,2272390.68352072
2019-08-15,0.045412231905146164,3763094.820386948,1854833.1615996237
2019-08-16,0.0426571727937368,3510985.8283072705,1842844.7359351413
2019-08-17,0.037804375795572456,3116436.391688744,1820083.7316328948
2019-08-18,0.03408019935736432,2817964.7797405045,1461075.219696624
2019-08-19,0.03254711517601247,2685723.9921777756,1358822.5740246524
2019-08-20,0.03052205404166743,2521801.4462310965,1973519.8152451303
2019-08-21,0.02829747672354009,2335535.463761402,1667181.4730511976
2019-08-22,0.02595982306627351,2146521.102237808,1439092.8142869072
2019-08-23,0.02996338053543479,2478409.3920134814,1240896.256348529
2019-08-24,0.030056045510106273,2495009.4330439446,518337.0266640775
2019-08-25,0.027591975561898015,2281477.714422108,660593.7804779172
2019-08-26,0.02716569819964245,2246230.4266747343,981430.278690461
2019-08-27,0.02767448027817663,2294088.052013217,991937.7228801998
2019-08-28,0.026144638869241982,2181243.8745110263,657445.9850462866
2019-08-29,0.02647285269355814,2187980.513665156,721373.9701323189
2019-08-30,0.026894292740351527,2223814.6616898174,1059534.5320271158
2019-08-31,0.026890566039506316,2212387.6346290163,1118354.2037529084
2019-09-01,0.02715714966530119,2247097.8710559644,782651.1243434115
2019-09-02,0.02646140859337077,2187995.3417094215,1063631.2065716623
2019-09-03,0.028388096485126604,2347305.989032475,739336.7495335257
2019-09-04,0.030119560933462314,2490474.3367765592,1205455.2862794364
2019-09-05,0.030306902481565028,2505964.9117817036,1337655.9192452221
2019-09-06,0.022739077942358858,1880209.6810943387,912492.908387285
