date,prices,market_caps,total_volumes
2020-02-13,0.553550921120922,2084846.6455843137,90543.82333425006
2020-02-14,0.49615996535771156,1967592.2541827722,66101.84257383483
2020-02-15,0.5499293249943576,132829746.54015957,38577.16249309617
2020-02-16,0.3845922916118774,83267345.94525695,114640.0565937618
2020-02-17,0.28422682456972176,68662316.62261681,85505.11033691226
2020-02-18,0.20074188318961722,50749020.67075386,533077.6803581517
2020-02-19,0.19501996072233285,49009805.19842276,430943.30650882085
2020-02-20,0.1704642431418388,42443410.781629086,590774.0122930646
2020-02-21,0.1195846269773344,29506718.66012721,534501.8487014786
2020-02-22,0.10645475772735422,27764665.556421604,574613.0354495153
2020-02-23,0.08665815797820844,22080292.51590504,485616.2345020822
2020-02-24,0.10175843848477358,26197729.58593052,603325.5868053349
2020-02-25,0.11809040798238231,30052608.82561956,549267.4839304547
2020-02-26,0.1471388954496105,37120803.39862812,730953.9829078183
2020-02-27,0.12525697922154722,33963416.205895245,435169.1800512519
2020-02-28,0.14885658030833732,38588213.51034786,383518.45605961856
2020-02-29,0.21523815890425593,53871083.605668545,401055.83379933133
2020-03-01,0.25885892237001884,66570200.59728477,1004608.9611662071
2020-03-02,0.21470195799655595,55558381.86501982,813104.3161221971
2020-03-03,0.23169492477435424,60075135.121004134,649352.4713144207
2020-03-04,0.27626864778459986,72324998.54781756,1133671.5993940623
2020-03-05,0.3417568518781245,89957577.60899311,1389966.4523110464
2020-03-06,0.40682186138023496,106296129.25874746,27502503.316460133
2020-03-07,0.374099228378754,98133000.42160687,57905501.164627224
2020-03-08,0.33914343971084,86549246.5656347,53340225.24095013
2020-03-09,0.2691643155899268,70588039.97642297,39534018.10366402
2020-03-10,0.2830495586106063,74212300.52065717,38438920.84477213
2020-03-11,0.3088997052500413,81753881.41170083,44209031.46736361
2020-03-12,0.2905008488330411,76898282.99968776,42217309.74885057
2020-03-13,0.1623547479333401,44844163.37793611,24894188.024662707
2020-03-14,0.1523578694686438,40146451.30469677,25320984.301580004
2020-03-15,0.15439141657204172,40220766.59887355,12638840.508918611
2020-03-16,0.14953566983164804,39097809.851184055,12887345.177793933
2020-03-17,0.12961948434000237,34878098.507501125,19118328.31490683
2020-03-18,0.14148240204339887,37239036.931979805,23821195.45022179
2020-03-19,0.15404638562251435,40433228.606851734,28217397.269078124
2020-03-20,0.17779516956055835,46747457.83551037,31432127.045287836
2020-03-21,0.17303332028381255,45469275.28697587,28781697.890081603
2020-03-22,0.1631651887445422,42405714.65076112,26058571.96868196
2020-03-23,0.14507680396632247,38093601.23193793,24364410.337188065
2020-03-24,0.15041261903722578,39085813.42554991,18822459.74853705
2020-03-25,0.15590691003877166,41181464.426791124,18734347.29128059
2020-03-26,0.16354597042120514,43167855.46909533,21355441.88960322
2020-03-27,0.16583651444644953,43797071.042218685,20075899.614995945
2020-03-28,0.15822687930405768,41830261.635596,16072169.167324731
2020-03-29,0.15924581698985693,41858792.27361178,16625241.569093015
2020-03-30,0.1538715501143763,40212883.569232285,13659015.141923023
2020-03-31,0.18651349492383215,49088779.71655903,44783953.49580364
2020-04-01,0.17772599432796568,47452481.67494025,58602341.0914939
2020-04-02,0.16920642945343306,44493604.1246365,38398990.88649795
2020-04-03,0.16974411889705932,44460126.71315925,42011614.61946679
2020-04-04,0.16730862222617482,44304433.52914424,37563578.85591385
2020-04-05,0.16762790504660768,44134050.86037356,37043389.70504398
2020-04-06,0.166310165807665,43812536.32818825,37638025.93263248
2020-04-07,0.17364255016643396,45759332.90935909,38379398.02328464
2020-04-08,0.16601833403713287,44542298.101223424,35845935.77047764
2020-04-09,0.16333356136087915,43182530.651366435,22457122.169766184
2020-04-10,0.1586297266190513,41970640.30839295,15627969.668085089
2020-04-11,0.1393276850884032,36916955.296495005,13829872.029864606
2020-04-12,0.1401934423256946,37173494.440741554,16271361.427174604
2020-04-13,0.13764391560698705,37077698.66985288,16502619.269400956
2020-04-14,0.12097632185908212,32111039.502708238,17116652.41616892
2020-04-15,0.12269493171898639,32620213.632167924,18934976.65282403
2020-04-16,0.11866267475326736,31595646.829460826,19564363.96183742
2020-04-17,0.12580680734038346,33545649.95160208,19929174.89458403
2020-04-18,0.12125992449644796,32453553.697114322,17770321.130285695
2020-04-19,0.12268522423655882,32731958.63313619,20379861.042125344
2020-04-20,0.1204707732554702,32173155.88511541,24829326.896081317
2020-04-21,0.12180693327796496,32570619.312072147,21316834.616493057
2020-04-22,0.11761039827312697,31464400.899956394,16565427.40479912
2020-04-23,0.12185448145997521,32627924.529792096,17031721.268520188
2020-04-24,0.12271643027958115,33025371.914827865,17632237.839068763
2020-04-25,0.12178699897505739,32624983.66633414,16577692.349679353
2020-04-26,0.11842199030055528,31810666.06778917,15705780.189708408
2020-04-27,0.12117876220713758,32534540.323394172,17786522.01175488
2020-04-28,0.12010076685785064,32578294.834935322,18221316.814853575
2020-04-29,0.1251597818977208,33689643.7008542,18783226.405652102
2020-04-30,0.13919972665078156,37219448.21665516,21078687.801826213
2020-05-01,0.1315821814856436,35560728.64792352,17787285.412838448
2020-05-02,0.1305568072543884,35214255.61621884,12227230.514797132
2020-05-03,0.1288211575703567,34810292.13198921,6309539.26284769
2020-05-04,0.1297110855827523,35104169.29466031,5623899.519533424
2020-05-05,0.12559766081429688,33935503.50254572,5265612.764423882
2020-05-06,0.12412338713030337,33503754.12740913,5722006.349282347
2020-05-07,0.12393116238471963,33628149.856701605,11545887.326806286
2020-05-08,0.1261067566718159,34233348.566505454,14042352.59135067
2020-05-09,0.12744815461391612,34407844.7931087,15252188.62548055
2020-05-10,0.11918555614189008,32560760.390343018,15070194.199351268
2020-05-11,0.10540768938449922,28559358.595854055,16508139.491635224
2020-05-12,0.10056020217067692,27150842.077526398,19396962.558225084
2020-05-13,0.09688416494533011,26309366.05279122,20407453.037120648
2020-05-14,0.09483104933905127,25760731.809381947,23448075.366993606
2020-05-15,0.09954814480693346,26994580.716284398,26238598.297640815
2020-05-16,0.10406404097950651,28460962.051239643,28652770.872398093
2020-05-17,0.1229588604814056,33531761.896431796,39341828.28403777
2020-05-18,0.1239602660250921,33736965.56195767,37802804.48077111
2020-05-19,0.12092910589136524,32834292.989333604,16690353.339691833
2020-05-20,0.11554681538343631,31513579.952776298,5952481.548266552
2020-05-21,0.11659601815424162,31726110.75100705,6155811.537180913
2020-05-22,0.11957742686444355,33051887.308291927,8036600.379003506
2020-05-23,0.12308822506038193,33756716.322592445,5178057.8145228885
2020-05-24,0.12438091925452147,34093869.57332817,5487212.988846981
2020-05-25,0.12566829328522022,34590159.94946073,7990647.32941423
2020-05-26,0.12987079193228673,35693552.90772363,7248234.615483489
2020-05-27,0.13798250554091543,37640222.80578832,5313904.289985965
2020-05-28,0.14081439183419542,38619928.90676718,5528001.9521894585
2020-05-29,0.13411186896955624,36884848.705880195,4804912.173827653
2020-05-30,0.12983404689267442,35718927.61980952,2607993.5675578676
2020-05-31,0.12549831849429746,34647381.56097593,2445629.489129394
2020-06-01,0.12075820308795383,33250607.051082876,4017808.341321582
2020-06-02,0.11566015885159094,31881050.811554804,5357586.723829361
2020-06-03,0.11196843755917892,30895212.18027705,6113257.425780204
2020-06-04,0.11325751418270706,31129473.095747016,3631324.8231266337
2020-06-05,0.11246041754720558,31193798.35444628,4375982.986507293
2020-06-06,0.11573424598811785,32057366.62167294,5786796.178103537
2020-06-07,0.11544604536290677,31967820.577457573,6046298.102466255
2020-06-08,0.1156094395393639,32036873.659420397,7009079.584195053
2020-06-09,0.11408558506257394,31649236.892003648,5545264.057095039
2020-06-10,0.11156941088342213,30965639.286261022,5002325.2208453575
2020-06-11,0.11121667622314023,30861559.194799926,5233839.398390401
2020-06-12,0.11100888615755578,30764974.583797064,5397855.663078613
2020-06-13,0.11216325571225792,31180639.881936803,5132003.416991518
2020-06-14,0.11010686520004825,30661361.587308604,3198678.3399677286
2020-06-15,0.10663610138000974,29679567.8183593,2561508.8478829935
2020-06-16,0.1046954748809877,29135766.52719998,3046680.4358362
2020-06-17,0.10282036108216071,28652632.853037328,2741452.0033046408
2020-06-18,0.10055836542302818,28018170.939402137,2358479.0951324
2020-06-19,0.09973469137148784,27839163.915128723,2568187.023428533
2020-06-20,0.09716061290530162,27069192.528580997,2708245.776373155
2020-06-21,0.09695912265113374,27012290.75852776,2879798.9485171265
2020-06-22,0.09254734649399542,25857320.694816034,2618540.1906852755
2020-06-23,0.09585829544585986,26817203.10658091,3053199.3976645977
2020-06-24,0.09245565676775491,25872113.776851192,2063849.1210419713
2020-06-25,0.09024066689776464,25219012.794016942,1948875.570818154
2020-06-26,0.09095792405527889,25507421.077273518,1833436.672062257
2020-06-27,0.08839915819117863,24879013.05930326,1772131.9130556844
2020-06-28,0.08083742154205928,22624680.747565933,1746266.1778674093
2020-06-29,0.07829443199847261,21996600.51141227,1693027.6292373142
2020-06-30,0.07957424728504853,22372037.672614943,2020610.2269723427
2020-07-01,0.07986151481478611,22524348.891857143,1641928.5181152495
2020-07-02,0.07999415507133609,22571614.90772618,1816002.0043811966
2020-07-03,0.07913995144717612,22379742.64210313,1894734.3776347945
2020-07-04,0.09212745989574943,25986702.284520566,2123839.979422555
2020-07-05,0.08758187673666144,24888415.0003716,2289269.0237197215
2020-07-06,0.08155930947540153,23027408.138688914,1802532.6181355172
2020-07-07,0.08224635181315544,23270502.786460835,1769114.510509007
2020-07-08,0.08018968294370588,22715125.778539997,1746521.9396199402
2020-07-09,0.08185259962693511,23204980.765551593,1718257.7125656449
2020-07-10,0.08296697569534245,23541118.949209496,1434316.5927692188
2020-07-11,0.08300365347979753,23582758.31317489,982747.7816515013
