date,prices,market_caps,total_volumes
2020-01-10,0.2164882916127958,0.0,30226434.431538735
2020-01-11,0.2026040036886525,0.0,10642276.748326333
2020-01-12,0.1703182348209564,4913799.234407067,5353893.002914214
2020-01-13,0.16610387316145167,4738608.754228524,11218839.827836392
2020-01-14,0.16744470878016277,4806195.429914455,12647763.378903106
2020-01-15,0.14547510745569164,4178471.1827172004,12083705.40102168
2020-01-16,0.13192068231110404,3852124.9508164357,11083532.513965556
2020-01-17,0.11868405286573053,3458887.22182538,9837716.180659296
2020-01-18,0.12074065358010115,3541433.48109314,7985100.178972506
2020-01-19,0.12317714646767496,3559511.277428563,6776928.331821192
2020-01-20,0.11403796550072318,3318197.678624413,7515130.393972726
2020-01-21,0.10882987777454496,3190084.8839076255,4929740.448267892
2020-01-22,0.12296719340545431,3570206.1719164997,8710221.13580734
2020-01-23,0.12964853058251175,3040228.0372487674,11586455.715814613
2020-01-24,0.12880485222789642,2994919.084904195,7515048.876618413
2020-01-25,0.12152745900015961,2847952.6423957483,7206571.774587811
2020-01-26,0.1166724165279645,2743284.9925927077,5343361.333402771
2020-01-27,0.1165623053708934,2728261.1346860076,5321546.478141085
2020-01-28,0.11964575466001579,2790319.4562158654,5925240.458322012
2020-01-29,0.1129717321748516,2704577.064190718,6161820.327721827
2020-01-30,0.10720270872222727,2514536.5478628986,5280751.784193805
2020-01-31,0.11034228352890768,2575135.2339502997,5590453.009684097
2020-02-01,0.1104135498245267,2600640.445727957,6524255.275172733
2020-02-02,0.11114804984225511,2600238.1784691075,4109083.590704496
2020-02-03,0.1174784482687314,2753771.3643509927,7100303.113455283
2020-02-04,0.11494705004170773,2678346.355615948,7278343.624915271
2020-02-05,0.11739967137006661,2748917.4670054754,3467704.482506887
2020-02-06,0.120912664880488,2833826.560064254,3520740.47240819
2020-02-07,0.24299229602578076,5434147.525711037,48933809.141577065
2020-02-08,0.22661866823815044,5564224.248839526,39551252.406119585
2020-02-09,0.3122817624648711,7459442.052725844,33241183.08404401
2020-02-10,0.4359761712353724,9942646.413011296,57080531.07517233
2020-02-11,0.37983007099772287,9162164.627027018,35315752.91613584
2020-02-12,0.3466128371424222,8284705.025710892,29274743.43382177
2020-02-13,0.3237411874975158,7761462.919288647,37291596.10547105
2020-02-14,0.32596498373653665,7823212.480251891,29197379.218402285
2020-02-15,0.28112532160004233,6729290.961871311,20434068.436834242
2020-02-16,0.277474808815087,6693401.74518059,32470051.94051364
2020-02-17,0.28998820990316443,6950843.676523332,24561321.80079575
2020-02-18,0.31916608069562075,7593976.164308315,30978142.773373198
2020-02-19,0.32471017115312995,7835047.7100309655,28204638.564115774
2020-02-20,0.3048188752497642,7329008.174797367,16468760.787624022
2020-02-21,0.29835339732574967,6953308.739670695,20080608.19075543
2020-02-22,0.2853804443259063,6846577.881580722,15219224.316474983
2020-02-23,0.2828408876777284,6773332.780791109,12733374.677372081
2020-02-24,0.2868930503617591,6874982.422272915,27390783.77749059
2020-02-25,0.2892749449095708,6903201.822413996,37149216.487840064
2020-02-26,0.2665308318424152,6390133.163079804,18927841.409420207
2020-02-27,0.25001431238419236,7095780.973063235,33414338.159942605
2020-02-28,0.27371150497743757,7758706.246706783,37220501.210649975
2020-02-29,0.3102719978596376,8832040.173224444,39495576.2956404
2020-03-01,0.3193750555222917,9297874.64016714,44983250.89533052
2020-03-02,0.33245591354935977,9413752.164278045,31384226.321954872
2020-03-03,0.3283106218840225,9313820.383400798,34717159.98592735
2020-03-04,0.31041705274761977,8819246.608168246,28610349.740004662
2020-03-05,0.371133563091753,10521571.765792096,51116011.99648549
2020-03-06,0.35339365531600875,9979546.378750222,49002367.30674095
2020-03-07,0.3812314217471708,10921500.607072659,55691368.118936345
2020-03-08,0.4096494049592753,11651357.909369515,83493607.97444206
2020-03-09,0.48165698186079936,13852575.616215287,104453646.0649431
2020-03-10,0.4446463184168781,12693963.73206873,108237120.33074585
2020-03-11,0.4514356368148148,12930106.501618758,78358214.73077264
2020-03-12,0.4097297502353541,11666037.976796828,57329128.06998925
2020-03-13,0.18236209936338843,5181478.061222939,47279983.800831124
2020-03-14,0.25268682163702094,7155823.595553378,68605359.36805017
2020-03-15,0.22517743921393443,6307166.289681094,40965128.68043016
2020-03-16,0.22900551441420303,6589075.490417521,33226665.719264563
2020-03-17,0.18406991099423897,5271718.1577561665,40172802.851041764
2020-03-18,0.20723475305713726,6052894.086968871,45104850.75335859
2020-03-19,0.20358234565746824,5813000.8518915335,40748709.59526521
2020-03-20,0.2178308082582551,6226622.84344431,48785314.956830464
2020-03-21,0.20587759984089837,5926206.465563639,46588355.35361088
2020-03-22,0.19976274480304593,5708183.05613514,25718449.767023616
2020-03-23,0.17040588825719635,4884907.6806543935,20264771.9404095
2020-03-24,0.19608649092715558,5565583.826771519,31503667.921438627
2020-03-25,0.19773180505458468,5672529.477646967,31519105.146331076
2020-03-26,0.2243357983688922,5982911.611417685,5980197.327814628
2020-03-27,0.22654555455821973,6476202.035124973,35007700.92355663
2020-03-28,0.2057303477240182,5682079.835282666,22071078.405863166
2020-03-29,0.20418508843191122,5813923.702558905,18152674.48420133
2020-03-30,0.19609532850171435,5593974.590440579,14155660.383296806
