date,prices,market_caps,total_volumes
2018-02-02,0.319075,0.0,1688170.0
2018-02-03,0.27493,69971776.11758,627710.0
2018-02-04,0.305833,77836824.665798,655876.0
2018-02-05,0.256268,65222155.174408,623688.0
2018-02-06,0.179954,45799661.730124,502817.0
2018-02-07,0.233909,59531619.611854,477782.0
2018-02-08,0.212242,54017203.312652,302842.0
2018-02-09,0.20213,51443622.40078,266721.0
2018-02-10,0.212914,54188232.423884,218465.0
2018-02-11,0.18343,46684330.16858,367250.0
2018-02-12,0.186511,47468468.102666,304595.0
2018-02-13,0.186693,47514788.486958,326625.0
2018-02-14,0.18253,46455273.32318,256050.0
2018-02-15,0.211262,53767785.858772,289804.0
2018-02-16,0.213849,54426197.035494,382863.0
2018-02-17,0.210442,53559089.621852,406324.0
2018-02-18,0.214782,54663652.631892,259926.0
2018-02-19,0.189571,48247261.377026,256165.0
2018-02-20,0.191447,48724717.645882,314557.0
2018-02-21,0.166037,42257679.377422,300639.0
2018-02-22,0.152305,38762780.93183,201059.0
2018-02-23,0.150108,38203627.721448,199057.0
2018-02-24,0.179133,45590710.985598,363008.0
2018-02-25,0.162055,41244230.09033,309386.0
2018-02-26,0.15661,39858436.17566,279841.0
2018-02-27,0.152637,38847277.457022,279552.0
2018-02-28,0.169691,43187650.169746,438472.0
2018-03-01,0.16622,42304254.26932,548962.0
2018-03-02,0.205071,52192129.270026,694010.0
2018-03-03,0.211113,53729864.225478,581157.0
2018-03-04,0.210673,53617880.878838,1179650.0
2018-03-05,0.22725,57836853.4635,683415.0
2018-03-06,0.222436,56611653.848216,525206.0
2018-03-07,0.210316,53527021.663496,629138.0
2018-03-08,0.194407,49478060.159642,927493.0
2018-03-09,0.1744,44386126.4864,540254.0
2018-03-10,0.185994,47336887.670364,322745.0
2018-03-11,0.176889,45019595.917734,539748.0
2018-03-12,0.19532,49710425.60392,262621.0
2018-03-13,0.195885,49854222.40131,389795.0
2018-03-14,0.19552,49761327.12512,475611.0
2018-03-15,0.171031,43528690.361786,555956.0
2018-03-16,0.169106,43038763.220236,319500.0
2018-03-17,0.173713,44211279.761078,198449.0
2018-03-18,0.153345,39027468.84207,184216.0
2018-03-19,0.143244,36456687.513864,433823.0
2018-03-20,0.159857,40684822.372342,331944.0
2018-03-21,0.164851,41955833.356706,229884.0
2018-03-22,0.16732,42584212.63592,433266.0
2018-03-23,0.166239,42309089.913834,193457.0
2018-03-24,0.167122,42533820.129932,372336.0
2018-03-25,0.170777,43464045.429862,284150.0
2018-03-26,0.177218,45103328.920108,179706.0
2018-03-27,0.167344,42590320.818464,907499.0
2018-03-28,0.143439,36506316.497034,555797.0
2018-03-29,0.130682,33259562.967292,565619.0
2018-03-30,0.111364,28342985.034584,353856.0
2018-03-31,0.107979,27481476.788274,285519.0
2018-04-01,0.111769,28446060.615014,197056.0
2018-04-02,0.101142,25741408.286052,171826.0
2018-04-03,0.107513,27362876.243878,151466.0
2018-04-04,0.122833,31261932.767798,273584.0
2018-04-05,0.114261,29080293.569166,249979.0
2018-04-06,0.110868,28216749.262008,215135.0
2018-04-07,0.1055,26850552.433,147189.0
2018-04-08,0.118963,30276988.332578,175208.0
2018-04-09,0.117961,30021971.711366,223600.0
2018-04-10,0.1226713190667868,31220783.740550064,172553.21227146505
2018-04-11,0.12514717905035702,31850908.937759716,160542.10475653206
2018-04-12,0.13308813644564577,33871942.99378265,304133.6146142744
2018-04-13,0.15705457533418746,39971583.9796507,359355.1279186855
2018-04-14,0.14992586211056802,38157272.24324678,296416.45620108227
2018-04-15,0.150125373121396,38208049.312983245,131013.44863685538
2018-04-16,0.15124065263324232,38491896.4315641,180401.71039670325
2018-04-17,0.1450746553756509,36922603.23093194,192068.68320165915
2018-04-18,0.13960741225741985,35531148.27349098,159855.6992666685
2018-04-19,0.15487485693811157,39416829.06891126,280417.8698302759
2018-04-20,0.1669484811048508,42489658.25133181,371854.8029964761
2018-04-21,0.17580120627821824,44742744.141781494,435880.4097771033
2018-04-22,0.1744641823750514,44402461.389021724,281780.0178059313
2018-04-23,0.18476070610454734,47023004.99353793,379814.0027181104
2018-04-24,0.19473038708771542,49560364.63314776,357196.3697966032
2018-04-25,0.20712353135561132,52714514.11158257,533320.6665000034
2018-04-26,0.18002922046254172,45818805.909967706,476086.1788405143
2018-04-27,0.19408274183220978,49395533.989631765,354486.4605115588
2018-04-28,0.19420308179643828,49426161.42583368,462458.1744649446
2018-04-29,0.19107939009036326,48631158.12783848,432692.7944764019
2018-04-30,0.19117044432547306,48654332.12323243,427176.4251774765
2018-05-01,0.1780428200238005,47761275.8574871,523893.6711627681
2018-05-02,0.17806658188670998,47767650.14929598,336544.6910202814
2018-05-03,0.18878824789929416,50643814.70347694,764110.4891266413
2018-05-04,0.21858763480054796,58637716.046898216,127143.90098891758
2018-05-05,0.23708724624661792,63600370.791492574,1077383.5967311885
2018-05-06,0.22805217656676635,61176647.91789777,495614.2616493078
2018-05-07,0.21619904091118042,57996958.43787842,288892.35301751975
2018-05-08,0.21524169381484198,57740143.14617797,432130.59275844257
2018-05-09,0.23536203340550185,63137569.9528718,663853.7847540216
2018-05-10,0.23571607077683077,63232543.04166941,652611.546477511
2018-05-11,0.2701826478987567,72478451.96157756,2116948.758227174
2018-05-12,0.2538859273916382,68106738.66469312,1517591.7415408054
2018-05-13,0.2732754407805602,73307227.90494488,940828.9830766991
2018-05-14,0.3081775183876368,82669849.55213699,1442990.6977850965
2018-05-15,0.3166080402096243,84931370.68552823,2232968.2926160586
2018-05-16,0.3136055136099912,84125930.93909048,1154473.7327259425
2018-05-17,0.30525547238701844,81885999.04766347,569050.6663981153
2018-05-18,0.26635130161332654,71449799.93217088,539020.5892854021
2018-05-19,0.2808836066893638,75348148.78177975,507799.06577940035
2018-05-20,0.2737015379768444,73421530.1788281,400575.3562999355
2018-05-21,0.2560800926661135,68694507.12941487,447467.57817972166
2018-05-22,0.24433657841425113,65544262.551243894,513026.1590144557
2018-05-23,0.21375925630503625,57341773.83077714,417196.3676328826
2018-05-24,0.20951254237999734,56202575.867503464,458419.76312216424
2018-05-25,0.2177495620842602,58412189.28535463,383394.67763155757
2018-05-26,0.22363714917824384,59991558.02656343,389312.19447707833
2018-05-27,0.21767141343117716,58391225.597195685,229149.32045982985
2018-05-28,0.19737349248079222,52946227.2729545,332244.61210855795
2018-05-29,0.18584798128472083,49854462.88476765,315237.3485412149
2018-05-30,0.1998347747825263,53606476.075833604,309775.0779296789
2018-05-31,0.19729235654446017,52924462.234138764,209830.76087799488
2018-06-01,0.20285546055170406,54416787.09199313,252453.66721415278
2018-06-02,0.20863164706139914,55966272.18175539,287795.6601615344
2018-06-03,0.22281317375765375,59770523.33068026,295903.9813654045
2018-06-04,0.22147808583327067,59412380.6652935,234133.24845818226
2018-06-05,0.1952165645469913,52367622.74425609,356828.1979833772
2018-06-06,0.20700580709095737,55530134.11933122,332305.75503455853
2018-06-07,0.2126245813996535,57037392.757786,249915.97029849078
2018-06-08,0.21019532760306714,56385735.72927055,201075.53593772775
2018-06-09,0.20493406086466406,54974379.923717104,109456.1259288432
2018-06-10,0.19282852791612085,51727022.38498286,184581.02805659172
2018-06-11,0.16494009043480556,44245837.69997761,245989.71947679977
2018-06-12,0.15422496830470972,41371463.413811855,277583.74567395356
2018-06-13,0.13843044471302013,37134519.408602946,224829.96585769515
2018-06-14,0.12273843041301298,32925073.93010494,302979.7749349314
2018-06-15,0.1533356838487789,41132909.30848486,233894.86724558088
2018-06-16,0.1454939677408389,39029337.658399254,281848.1253814263
2018-06-17,0.14653191438586946,39307770.98941171,89600.10599261518
2018-06-18,0.13305433572493877,35692356.71112304,199963.0030701727
2018-06-19,0.14529509722082767,38975989.84751513,182000.52581850888
2018-06-20,0.13782957427390527,36973333.514635585,143485.33766526644
2018-06-21,0.12737350963513472,34168452.43467535,170030.6758828388
2018-06-22,0.12752168738173916,34208201.70672756,270989.5497187928
2018-06-23,0.10378102173878538,27839673.37526796,382514.6989380235
2018-06-24,0.10799785564466925,28970855.904122263,93615.14213630099
2018-06-25,0.10259318156139456,27521030.505824886,116969.10313468783
2018-06-26,0.10874123654017664,29170270.796918653,82281.59141047113
2018-06-27,0.0976005258304933,26181730.675328944,43901.96399174924
2018-06-28,0.09950792425396131,26693397.916758742,74584.6243894922
2018-06-29,0.09213662809796526,24716018.296698548,66689.84187362016
2018-06-30,0.10100633834454684,27095353.478227362,177562.98151706156
2018-07-01,0.10341189701601494,27740654.194838896,66120.68864289814
2018-07-02,0.10572971693869611,28362418.64183525,34214.743202879734
2018-07-03,0.11022774045629143,29569031.406540077,84772.52971891523
2018-07-04,0.10996117821046864,29497525.019981626,72428.81461684676
2018-07-05,0.11373570610982628,30510057.19689969,45708.552968731055
2018-07-06,0.1108548839527889,29737265.153032362,50679.69426249994
2018-07-07,0.10410832683910612,27927474.275030956,97653.33578247417
2018-07-08,0.10926307955021022,29310257.267557457,21421.0947706445
2018-07-09,0.1095988278469864,29400323.088474866,64851.36744281579
2018-07-10,0.10836250252937663,29068673.886615377,109641.6213449441
2018-07-11,0.09692593101636383,26000767.923456214,93721.54749728438
2018-07-12,0.09818340600033029,26338090.607745353,38071.01189096002
2018-07-13,0.09415748491349286,25258121.204724237,34779.295983478194
2018-07-14,0.09297782250653604,24941672.05484574,52351.81020585316
2018-07-15,0.0937253554340973,25142200.74681549,81441.94159018502
2018-07-16,0.09704391933990997,26032418.762256857,39013.23003217282
2018-07-17,0.10959967285139151,29400549.764279798,103390.80321363933
2018-07-18,0.11416220201643247,30624466.42641846,102463.5492875552
