date,prices,market_caps,total_volumes
2020-02-06,0.06537151334119728,9759292.89090427,55106416.183226965
2020-02-07,0.12142594340524895,17817233.388521556,149626978.0339996
2020-02-08,0.11281764200050656,16554108.631935121,111092166.20545076
2020-02-09,0.11149604449387658,16430125.508918354,53671760.357438415
2020-02-10,0.08928686938701191,13461849.021671733,36901094.35094149
2020-02-11,0.09412390917049639,17540867.782889754,34124321.1649627
2020-02-12,0.0926745879314661,17391470.108254105,21658665.575100742
2020-02-13,0.11679448350475193,21675371.65134384,51055292.30844746
2020-02-14,0.10689102146031113,20048100.129681587,37681672.54131662
2020-02-15,0.11150123952476436,20801779.494867034,13816597.57818349
2020-02-16,0.09923077453231142,18524731.9291665,12690919.181610303
2020-02-17,0.09084107885007844,16718434.749847725,9669684.612606473
2020-02-18,0.08766446997048709,16365621.660350781,12576641.82186787
2020-02-19,0.09105009349752487,17010108.577791203,8202892.171966687
2020-02-20,0.08436177163946215,15865432.640964566,8081327.567873264
2020-02-21,0.07977763663701729,14912702.7315424,6121129.013288201
2020-02-22,0.08444745181579291,15781488.273669535,7026698.650021363
2020-02-23,0.08096087339271787,15074852.347320596,4899415.922547093
2020-02-24,0.08527935236744551,15785108.384184835,5877468.392575622
2020-02-25,0.07935599148657756,14852002.075810391,4854274.254019107
2020-02-26,0.07245085829270811,13565576.816979868,4828959.62093104
2020-02-27,0.06377881596856716,11962390.418854063,7147276.574977961
2020-02-28,0.0630885632523718,11779323.48664184,7063587.962464808
2020-02-29,0.06308411463152913,11967832.834570864,4810923.124570376
2020-03-01,0.060246252035770914,11221529.782141868,3446902.729667756
2020-03-02,0.061963170342310595,11539210.147050435,3677491.4421716877
2020-03-03,0.06995065402866991,13142357.995191725,12082315.205741903
2020-03-04,0.07468384193300127,13899869.754559774,8679764.083549876
2020-03-05,0.12369233803834816,22438442.336702302,62829286.41547817
2020-03-06,0.12144698543170128,22706056.156714518,67226585.56861746
2020-03-07,0.15402664423377332,28901880.777145423,55747005.36129553
2020-03-08,0.20114841670217262,37766578.87037605,156885834.06214643
2020-03-09,0.16240121620412865,30049199.235873822,94710378.7369144
2020-03-10,0.2034357293108554,37842122.58676764,91046840.22068702
