date,prices,market_caps,total_volumes
2018-03-26,4.164816899918607,0.0,11468319.20763884
2018-03-27,3.79226206526224,0.0,20733858.49137853
2018-03-28,3.369297786013305,0.0,11833907.763383284
2018-03-29,3.416016251440892,0.0,9330690.504694303
2018-03-30,2.9578627383510505,0.0,14841584.058641933
2018-03-31,3.310110156132809,0.0,15290003.327872606
2018-04-01,3.2805435944602563,0.0,11766875.182574328
2018-04-02,3.093158471344013,0.0,6738305.011542236
2018-04-03,3.2047396658135434,0.0,5836937.11545979
2018-04-04,3.530034395726529,0.0,7967259.116211203
2018-04-05,3.0523598007405828,0.0,6604331.261965807
2018-04-06,3.1756856109118465,0.0,4841610.464409391
2018-04-07,3.029322637120223,0.0,5121016.753079262
2018-04-08,3.5716425658749134,0.0,24068340.866805755
2018-04-09,3.8750737905362542,0.0,15090049.162022924
2018-04-10,3.709482093203662,393770771.9324271,13302940.273965163
2018-04-11,4.472858033953722,474805031.1392663,29862611.305257585
2018-04-12,4.326184088562306,459235226.1778216,27234773.30363556
2018-04-13,6.032126267604637,640325241.3970174,44955449.9629562
2018-04-14,5.699182571941957,604982438.0737907,57834925.65830443
2018-04-15,5.544161941861248,588526611.7242925,29077419.092988413
2018-04-16,5.928505858526079,629325676.6476486,19756755.502298243
2018-04-17,5.659913110324352,600813886.824314,21747128.355695795
2018-04-18,5.371447286246664,570192520.4531679,20526864.36529365
2018-04-19,5.926989677682537,629164730.2712678,15624973.112921229
2018-04-20,6.569874751222501,697408583.5400233,27916589.15421246
2018-04-21,6.379496280363648,677199434.2448282,19166029.449702542
2018-04-22,6.178551187392992,655868611.6698762,14579919.07700022
2018-04-23,6.295939389021108,668329661.9214875,10966291.715802323
2018-04-24,6.575859852653889,698043916.977823,11568858.69948156
2018-04-25,7.716962425104452,819174799.8121634,35839383.0291057
2018-04-26,7.285482015846036,773372078.6887223,46070546.639853984
2018-04-27,8.162499815494128,866469704.5267417,42587888.6455753
2018-04-28,8.013304363812084,850632235.3864317,24084379.041900627
2018-04-29,8.609878098344367,913960024.5653538,20304706.309485324
2018-04-30,8.450115559445608,897000832.773241,20136295.033893827
2018-05-01,8.155988938558538,865778558.7084126,19947032.976552613
2018-05-02,8.133264008648847,863366250.7452487,14419957.151520183
2018-05-03,8.695132758762908,923010019.3086504,24708948.908933245
2018-05-04,9.299833836750082,987200546.2567762,59242244.83330736
2018-05-05,9.150946655663846,971395800.8087298,36280508.08600696
2018-05-06,8.574038601281178,910155572.60423,26420599.90177248
2018-05-07,8.31238978512423,882380898.4786713,21293784.5558066
2018-05-08,8.042780869423996,853761239.9420646,27025074.067800056
2018-05-09,7.74268826887715,821905662.2631638,21981976.778358527
2018-05-10,7.739535419782273,821570979.4716898,61190186.21952036
2018-05-11,7.301659673907484,775089377.4228466,35943340.36938272
2018-05-12,6.780828490242814,719801848.8447008,23074137.17658324
2018-05-13,7.020713748418365,745266267.0339843,13832545.455088314
2018-05-14,7.3301155552130846,778110040.163948,14648875.92456532
2018-05-15,6.954173901603737,738202896.4107734,11942233.389962357
2018-05-16,6.57274131402765,697712876.328131,10584671.823072748
2018-05-17,6.215968934870246,659840598.8470312,12537043.403727766
2018-05-18,5.738265754482579,609131215.3348516,10795232.465712216
2018-05-19,6.075044133038181,644881079.8070266,8292361.187979419
2018-05-20,5.89348279812633,625607891.4737257,5179848.009783939
2018-05-21,6.159148566665654,653808975.1089358,7428378.678223868
2018-05-22,5.810324856366867,616780468.6432098,12246815.645048007
2018-05-23,4.9686067071260345,527429988.6979494,12662835.841920285
2018-05-24,4.486970275035005,476303080.71186143,15809645.766118426
2018-05-25,4.8265924197545695,512354818.05185,12733973.19187797
2018-05-26,4.589244819702374,487159778.5987426,9415315.35485128
2018-05-27,4.346796511381007,461423286.2467968,5325364.738275679
2018-05-28,4.326596929911132,459279050.316213,7812726.643692114
2018-05-29,3.834333789254933,407024090.72354776,8914970.69275423
2018-05-30,4.500694664895168,477759958.91042167,13955752.11662171
2018-05-31,4.366402010862442,463504458.8932613,8590057.233104905
2018-06-01,4.62638948646415,491102777.5771593,8385235.552197467
2018-06-02,4.507036639327197,478433175.30692375,6115572.827927163
2018-06-03,4.63837821930591,492375411.456223,6222738.118045622
2018-06-04,4.7553346764763385,504790630.95731175,8815256.501261054
2018-06-05,4.448557347691972,472225452.7109706,9106855.047101958
2018-06-06,4.404277203544039,467525005.01926816,10895465.209869675
2018-06-07,4.562517904228705,484322649.89101225,11781153.097447691
2018-06-08,4.388328467443137,465832006.9219583,7685302.918483093
2018-06-09,4.263400863245651,452570630.2918779,6842593.210226936
2018-06-10,4.0832855907637375,433450945.0905485,4654668.371263403
